date,visitors,conversion_rate,orders,revenue,refunds,marketing_spend,is_anomaly,anomaly_type
2025-01-01,12496,4.059572834839957,507,514943.48354676197,22,44596.41709945709,False,normal
2025-01-02,11861,4.278432368633646,507,467317.2001399343,13,41457.96616544769,False,normal
2025-01-03,12647,4.204407340273629,531,548342.5770627507,27,37431.42803693587,False,normal
2025-01-04,13523,4.234186634492091,572,494089.7742700764,24,35984.301618720274,False,normal
2025-01-05,11765,3.9294465756505867,462,500037.5923555558,25,37079.32028497255,False,normal
2025-01-06,11765,4.20857856099063,495,513714.86030355643,19,46335.633255057415,False,normal
2025-01-07,13579,4.374299401935907,593,605146.0505958502,22,47543.62511614967,False,normal
2025-01-08,12767,4.7079002627282645,601,648247.7825081003,20,37094.04648983933,False,normal
2025-01-09,11530,4.535744789129822,522,591550.2128007573,40,49475.19157038058,False,normal
2025-01-10,12542,4.953613860129045,621,671393.9048301007,28,42584.6947415828,False,normal
2025-01-11,11536,3.9314283529891827,453,386286.71785654116,31,45733.965059927745,False,normal
2025-01-12,11534,4.505312222852237,519,465871.96434113366,28,53061.10314127712,False,normal
2025-01-13,12241,4.264169702008424,521,494957.5616816441,35,49484.19657932766,False,normal
2025-01-14,10086,4.966431026626186,500,501043.64200843335,25,43657.346760470835,False,normal
2025-01-15,10275,3.9170956001256974,402,418647.914098287,32,40544.038872923564,False,normal
2025-01-16,11437,3.9060973552367284,446,420105.46074668434,28,34240.92299335347,False,normal
2025-01-17,10987,3.9902125740945924,438,444544.3074272768,20,41404.2334037879,False,normal
2025-01-18,12314,3.456636496491568,425,399316.9802999871,23,43944.348805861526,False,normal
2025-01-19,11091,4.015985742411734,445,423229.9662134867,18,40064.10236424408,False,normal
2025-01-20,10587,3.934303568456206,416,369186.3186968912,26,44343.71516453847,False,normal
2025-01-21,13465,4.252637825266673,572,529752.846657965,32,45384.25941479384,False,normal
2025-01-22,11774,4.319614591522006,508,453067.53762775223,22,43875.72009095961,False,normal
2025-01-23,12067,4.8566597937255604,586,540251.0619004227,30,41749.9870958827,False,normal
2025-01-24,10575,4.532648343365118,479,519375.55364601244,30,45843.27335983364,False,normal
2025-01-25,11455,3.998083720518159,457,422289.97662430414,30,47209.70324784704,False,normal
2025-01-26,12110,3.885554865028075,470,568977.5656378858,26,39548.00461278577,False,normal
2025-01-27,10849,4.372171710027277,474,492706.61480140337,22,52054.66189873135,False,normal
2025-01-28,12375,3.7379183775427753,462,468831.54313176253,23,44507.05933857869,False,normal
2025-01-29,11399,4.841010568049024,551,513163.5890496121,23,45094.248114724236,False,normal
2025-01-30,11708,4.612804042252451,540,570253.3867904684,21,48541.07211628279,False,normal
2025-01-31,31914,4.035788521763354,459,437862.57902054896,21,46166.08065631751,True,traffic_spike
2025-02-01,13852,3.600402914818193,498,502860.8710154712,26,49765.683169566226,False,normal
2025-02-02,11986,4.6738553309578945,560,674691.787314442,27,46435.62082600912,False,normal
2025-02-03,10942,4.159911054161584,455,451503.41965002276,23,41937.81312679781,False,normal
